XS,Eff. LET,Shape,Onset LET,Limiting XS,Width,Thickness,Height,Width,,,,,,,,,,
0.000139,5.70,1.10,0.50,0.001500,31.00,34.00,,,,,,,,,,,,
0.000219,5.70,,,,,,,,,,,,,,,,,
0.000379,5.70,,,,,,,,,,,,,,,,,
0.000280,5.70,,,,,,,,,,,,,,,,,
0.000211,5.70,,,,,,,,,,,,,,,,,
0.000310,5.70,,,,,,,,,,,,,,,,,
0.000175,5.70,,,,,,,,,,,,,,,,,
0.000174,5.70,,,,,,,,,,,,,,,,,
0.000175,5.70,,,,,,,,,,,,,,,,,
0.000165,5.70,,,,,,,,,,,,,,,,,
0.000132,5.70,,,,,,,,,,,,,,,,,
0.000155,5.70,,,,,,,,,,,,,,,,,
0.000170,5.70,,,,,,,,,,,,,,,,,
0.000190,5.70,,,,,,,,,,,,,,,,,
0.000050,5.70,,,,,,,,,,,,,,,,,
0.000090,5.70,,,,,,,,,,,,,,,,,
0.000229,5.70,,,,,,,,,,,,,,,,,
0.000378,6.58,,,,,,,,,,,,,,,,,
0.000552,6.58,,,,,,,,,,,,,,,,,
0.000437,6.58,,,,,,,,,,,,,,,,,
0.000340,6.58,,,,,,,,,,,,,,,,,
0.000389,8.06,,,,,,,,,,,,,,,,,
0.000360,8.06,,,,,,,,,,,,,,,,,
0.000461,8.06,,,,,,,,,,,,,,,,,
0.000429,8.06,,,,,,,,,,,,,,,,,
0.000601,11.40,,,,,,,,,,,,,,,,,
0.000562,11.40,,,,,,,,,,,,,,,,,
0.000523,11.40,,,,,,,,,,,,,,,,,
0.000323,11.40,,,,,,,,,,,,,,,,,
0.000201,11.40,,,,,,,,,,,,,,,,,
0.000291,11.40,,,,,,,,,,,,,,,,,
0.000169,11.40,,,,,,,,,,,,,,,,,
0.000198,11.40,,,,,,,,,,,,,,,,,
0.000171,11.40,,,,,,,,,,,,,,,,,
0.000544,11.40,,,,,,,,,,,,,,,,,
0.000411,11.40,,,,,,,,,,,,,,,,,
0.000342,11.40,,,,,,,,,,,,,,,,,
0.000482,11.40,,,,,,,,,,,,,,,,,
0.000449,8.06,,,,,,,,,,,,,,,,,
0.000381,8.06,,,,,,,,,,,,,,,,,
0.000500,8.06,,,,,,,,,,,,,,,,,
0.000469,8.06,,,,,,,,,,,,,,,,,
